mmsi,gear,flag,length,tonnage,engine_power,year,departure_port,departure_date,departure_timestamp,arrival_port,arrival_timestamp,time_at_sea_hours,fishing_hours,distance_traveled_km,mean_daily_fishing_hours,fraction_suspicious_econ,encounters_transshipment,encounters_bunker,encounters_fishing,coverage_gaps,fishing_foreign_eez,fishing_high_seas,fishing_ntz,suspicious_econ,suspicious_fishing_hours,suspicious_time_at_sea_hours,suspicious_distance_traveled_km,suspicious_mean_daily_fishing_hours,suspicious_encounters_transshipment,suspicious_encounters_bunker,suspicious_encounters_fishing,suspicious_coverage_gaps,risk_score
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-12-04,2014-12-04T15:07:26Z,"SONGKHLA HARBOR,THA",2015-02-26T08:27:26Z,37.12444444444445,0,53.44468387956238,9.28111111111111,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-11-20,2014-11-20T05:30:16Z,"THUNG PRONG,THA",2014-12-01T16:29:45Z,25.06152777777778,0,41.0066505507703,8.353842592592594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAP TA PHUT,THA",2014-02-12,2014-02-12T18:48:09Z,"MAPTAPHUT,THA",2014-02-28T13:10:29Z,3.8184722222222223,0,57.736342802656,1.9092361111111114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-03-03,2014-03-03T10:54:44Z,"SATTAHIP,THA",2014-03-13T18:08:02Z,47.657916666666665,0,175.28605500792477,7.942986111111111,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-03-13,2014-03-13T18:29:43Z,"BANGKOK,THA",2014-03-21T10:14:31Z,18.269861111111112,0,14.984726056091334,4.567465277777778,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-10-15,2014-10-15T16:02:14Z,"SATTAHIP,THA",2014-10-20T11:07:38Z,1.7419444444444443,0,22.251758828129258,0.8709722222222223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAP TA PHUT,THA",2014-06-26,2014-06-26T01:58:34Z,"SATTAHIP,THA",2014-09-01T20:00:24Z,4.1523611111111105,0,51.77338971783641,1.3841203703703706,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-09-01,2014-09-01T20:13:32Z,"SATTAHIP,THA",2014-09-25T16:58:42Z,52.21138888888889,14.579166666666667,248.18428357313854,4.350949074074075,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-10-20,2014-10-20T11:20:41Z,"SATTAHIP,THA",2014-11-10T01:15:20Z,84.41291666666665,0,229.90432073565464,9.379212962962963,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-09-25,2014-09-25T17:12:21Z,"MAPTAPHUT,THA",2014-10-13T19:19:54Z,19.026666666666664,8.876666666666667,103.30891444032117,4.756666666666666,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-11-19,2014-11-19T18:45:36Z,"MAPTAPHUT,THA",2014-11-19T20:54:37Z,1.936527777777778,0,31.319975736912923,1.936527777777778,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-11-10,2014-11-10T01:27:59Z,"SATTAHIP,THA",2014-11-13T10:51:56Z,26.85361111111111,0,75.1960365544943,13.426805555555555,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"THUNG PRONG,THA",2014-12-04,2014-12-04T13:48:49Z,"SATTAHIP,THA",2014-12-04T14:23:47Z,0.2913888888888889,0,5.590316913776563,0.2913888888888889,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"SATTAHIP,THA",2014-11-13,2014-11-13T11:04:56Z,"MAPTAPHUT,THA",2014-11-13T12:57:16Z,1.649861111111111,0,28.532226201847124,1.649861111111111,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2014,"PHUKET,THA",2014-05-15,2014-05-15T08:46:43Z,"PHUKET,THA",2014-06-01T03:00:20Z,369.49972222222226,40.18611111111111,4084.375229013916,21.73527777777778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2014,"PHUKET,THA",2014-04-16,2014-04-16T14:25:14Z,"PHUKET,THA",2014-04-24T08:01:47Z,160.27430555555557,0,3387.0365219475816,17.808256172839503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2014,"PHUKET,THA",2014-06-05,2014-06-05T17:06:13Z,"BANG SAPHAN,THA",2015-09-25T05:02:38Z,70.27791666666666,0,277.7980906598434,7.8086574074074075,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2014,"SINGAPORE,SGP",2014-04-09,2014-04-09T10:35:16Z,"PHUKET,THA",2014-04-11T02:56:50Z,14.116111111111115,0,119.09305701985534,4.705370370370371,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2014,"PHRA SAMUT CHEDI,THA",2014-04-06,2014-04-06T10:31:28Z,"SINGAPORE,SGP",2014-04-09T01:39:26Z,8.21375,0,159.21142102646354,8.21375,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567001000,drifting_longlines,THA,62.53,1261.85714286,1848.52158733,2014,"PHUKET,THA",2014-05-08,2014-05-08T05:15:58Z,"PHUKET,THA",2014-05-08T13:48:59Z,8.10986111111111,0,32.21163344169572,8.10986111111111,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567108863,other_purse_seines,THA,20.4278877985,30.7745544491,183.750909034,2014,"MAP TA PHUT,THA",2014-11-04,2014-11-04T07:41:28Z,"MAP TA PHUT,THA",2014-11-09T11:46:29Z,75.63472222222221,0,146.80543754099665,12.605787037037038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567108863,other_purse_seines,THA,20.4278877985,30.7745544491,183.750909034,2014,"MAP TA PHUT,THA",2014-11-09,2014-11-09T12:07:31Z,"BANG SAPHAN,THA",2015-06-03T03:01:54Z,372.7013888888889,148.23625000000007,909.8041591576197,12.022625448028675,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,1
567891038,trawlers,THA,26.0560030285,71.2860223188,186.974865249,2014,"314d16db,CHN",2014-12-22,2014-12-22T22:25:17Z,"314d32ff,CHN",2015-01-05T19:41:20Z,65.69722222222222,57.96555555555556,208.82840797947432,10.949537037037036,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2
567891038,trawlers,THA,26.0560030285,71.2860223188,186.974865249,2014,"314d303d,CHN",2014-12-17,2014-12-17T13:47:40Z,"314d16db,CHN",2014-12-22T21:31:28Z,71.9609722222222,71.9609722222222,222.62105508077528,14.392194444444446,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
567891038,trawlers,THA,26.0560030285,71.2860223188,186.974865249,2014,"314d303d,CHN",2014-12-14,2014-12-14T17:12:47Z,"314d303d,CHN",2014-12-15T06:22:38Z,13.026388888888887,12.25347222222222,77.30846709609966,6.513194444444444,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1
